"Variable","Valor_normalizado"
"REPROBACIÓN_PRIMARIA",0.329644268774704
"REPROBACIÓN_SECUNDARIA",0.446675031367629
"REPROBACIÓN_MEDIA",0.196
"REPITENCIA",0.907646474677259
"REPITENCIA_TRANSICIÓN",0.922448979591837
"REPITENCIA_PRIMARIA",0.803822937625755
"REPITENCIA_SECUNDARIA",0.957537154989384
"REPITENCIA_MEDIA",0.757518796992481
"POBLACIÓN_5_16",0.0822149165768329
"TASA_MATRICULACIÓN_5_16",0.234088871814573
"COBERTURA_NETA",0.188013386066322
"COBERTURA_NETA_TRANSICIÓN",0.222567567567568
"COBERTURA_NETA_PRIMARIA",0.294430491948589
"COBERTURA_NETA_SECUNDARIA",0.216952848187517
"COBERTURA_NETA_MEDIA",0.418879486431281
"COBERTURA_BRUTA",0.243122121249844
"COBERTURA_BRUTA_TRANSICIÓN",0.157768446310738
"COBERTURA_BRUTA_PRIMARIA",0.222787493375729
"COBERTURA_BRUTA_SECUNDARIA",0.249643075667958
"COBERTURA_BRUTA_MEDIA",0.576605944391179
"DESERCIÓN",0.351383874849579
"DESERCIÓN_TRANSICIÓN",0.466386554621849
"DESERCIÓN_PRIMARIA",0.202279202279202
"DESERCIÓN_SECUNDARIA",0.480633802816901
"DESERCIÓN_MEDIA",0.2
"APROBACIÓN",0.659340659340659
"APROBACIÓN_PRIMARIA",0.712328767123288
"APROBACIÓN_SECUNDARIA",0.735674064259688
"APROBACIÓN_MEDIA",0.489315068493151
"REPROBACIÓN",0.238696808510638
"REPROBACIÓN_PRIMARIA",0.269565217391304
"REPROBACIÓN_SECUNDARIA",0.105395232120452
"REPROBACIÓN_MEDIA",0.6104
"REPITENCIA",0.540218470705065
"REPITENCIA_TRANSICIÓN",0.906122448979592
"REPITENCIA_PRIMARIA",0.457746478873239
"REPITENCIA_SECUNDARIA",0.624203821656051
"REPITENCIA_MEDIA",0.477443609022556
"POBLACIÓN_5_16",0.0715811702758958
"TASA_MATRICULACIÓN_5_16",0.361505954667691
"COBERTURA_NETA",0.339367204137511
"COBERTURA_NETA_TRANSICIÓN",0.167027027027027
"COBERTURA_NETA_PRIMARIA",0.335795538484266
"COBERTURA_NETA_SECUNDARIA",0.50422458435541
"COBERTURA_NETA_MEDIA",0.502188503063904
"COBERTURA_BRUTA",0.289555583219221
