"Fila","Mahalanobis"
1,38.805522493555
2,37.2445827501239
3,33.053253333522
4,30.611277422519
5,45.9393229127178
6,30.5788707952331
7,25.6574846374548
8,137.55934764046
9,18.0973093028918
10,25.5456784942063
11,38.2197703679302
12,26.4185591197262
13,29.5878096803392
14,21.0797060342203
15,34.9665158748531
16,20.4596032801553
17,52.6260035411216
18,23.5671370230222
19,13.8077985545093
20,33.1471073548358
21,21.1243675420829
22,40.9860510918853
23,30.7172533019702
24,17.0514985734636
25,25.5374500944436
26,42.7876398038781
27,48.4852113625296
28,27.134708657435
29,28.3849652021234
30,24.5118564236869
31,28.432580009643
32,19.7657713965788
33,24.5923626626282
34,24.8559469681792
35,44.8009995467548
36,22.9012989137533
37,35.612693906594
38,70.6709297810994
39,31.9276179694355
40,30.1556287961651
41,30.5039177264118
42,26.4458491711387
43,29.4970235792283
44,20.2639802870016
45,21.6974991346053
46,32.322401357076
47,8.34194575805962
48,37.3172281973489
49,28.5271920316574
50,53.7026227614404
51,23.5814541734606
52,14.8605236394364
53,21.4433345058237
54,60.2119705839069
55,27.2013249791503
56,17.870843898143
57,23.8249501162205
58,25.5116973898927
59,29.4903134457348
60,23.8626648374121
61,37.6190673384719
62,46.0831762957487
63,24.4062739342071
64,22.6774406238951
65,29.9897185921437
66,46.0946003237281
67,21.0763616707714
68,21.0973875538586
69,19.2396591351745
70,24.8840650748039
71,60.6216335334015
72,25.8161340299109
73,24.6924733558483
74,41.9284308722346
75,41.3688291064815
76,41.4321759923198
77,51.4336130000261
78,27.5627132829933
79,21.7914649227343
80,37.6799579864303
81,24.8465532053307
82,46.0346333350061
83,50.9358504670081
84,32.8329700753834
85,35.3070913761522
86,28.1414690082613
87,28.1085930899772
88,18.6215647212653
89,22.2620945658889
90,31.7196461000603
91,19.9620913522638
92,19.6624834501583
93,19.7358976919401
94,28.7170648056635
95,27.2992612232315
96,18.4479692769424
97,13.6892103741262
98,12.0045601858316
99,25.2741288604826
100,13.8374070280845
101,36.0054112823078
102,26.3491458209014
103,14.6509999243126
104,18.4013094496564
105,13.2750737628393
106,33.5061591392272
107,27.0216571921869
108,31.0257362441859
109,31.7819231219043
110,33.1200406689129
111,29.2358104729113
112,29.7387031252516
113,23.7101979569745
114,18.8221329275769
115,29.1444901106881
116,23.060267015945
117,26.1917632534063
118,40.8566355895789
119,29.4218387312318
120,43.052829368234
121,29.9667526910414
122,55.980095505789
123,31.3457430900172
124,26.5101946275694
125,17.9086498338169
126,44.5696189522579
127,26.3923426747908
128,12.0240279117749
129,54.8778247476216
130,27.0373136447297
131,49.2738910834978
132,41.6312256730165
133,53.960586422219
134,34.9575641984519
135,25.7229299016341
136,23.5511360563798
137,57.5952143589327
138,21.0295049129343
139,41.4936094871933
140,45.714443771422
141,25.2541436370613
142,20.0465484626103
143,19.9483173241794
144,24.250776943187
145,74.1159511301311
146,14.7344113207595
147,21.7493326405939
148,32.7277281120032
149,20.1231504559073
150,38.6574071175624
151,50.491455166349
152,17.0763700858858
153,100.441641935571
154,35.8703107050959
155,13.7745765915794
156,32.174155084212
157,43.997521412192
158,37.402333896643
159,34.6610581618592
160,47.345543160676
161,75.1508844077751
162,29.2880479828133
163,28.6854755794679
164,25.9359421228696
165,57.8235257978854
166,32.3606364669582
167,44.8607408361393
168,17.1904965643067
169,19.274868320525
170,44.0735836346387
171,33.6990811854567
172,34.3175268025033
173,24.5428371408987
174,38.4809369015756
175,24.1646597864117
176,36.7533334156862
177,23.0349495504751
178,95.1287480484307
179,50.4607347798662
180,43.0194623881217
181,30.900823119123
182,84.0404698336532
183,27.8105788964527
184,58.7282178904487
185,23.8271543461816
186,50.161124523016
187,35.755300810436
188,20.032824221654
189,23.9843837295513
190,76.978334476998
191,39.5679382613852
192,29.6291046925208
193,17.9529945296136
194,32.3417860668135
195,18.9613693532564
196,49.8307807509712
197,18.7105882712672
198,115.90075698416
199,41.4090558129876
200,60.597282447526
201,31.9316875946618
202,26.3831133306625
203,26.0635046113135
204,26.8250005269887
205,35.616951454798
206,14.7972713943147
207,24.2394414502003
208,22.7599265183734
209,25.4392466448399
210,23.3918036331988
211,12.7555880183012
212,18.4838764609145
213,16.7153733564882
214,23.8053167385525
215,27.323010231712
216,37.5482922832577
217,22.8327065593192
218,34.4622193849013
219,41.8668396325035
220,22.2560371582435
221,39.8211224880845
222,31.0576395377624
223,50.8705961274417
224,25.4942864292664
225,27.9460114569143
226,33.8785391736627
227,23.6488357177063
228,29.1094897872619
229,41.4495264011354
230,39.1040742433656
231,37.7454282574992
232,44.3660110932662
233,11.479977550942
234,54.6385425423595
235,42.4702082273919
236,20.8174288456101
237,18.651770775393
238,16.1666868224238
239,44.5819677480052
240,67.8624427028939
241,32.9905297028037
242,22.3549467504104
243,32.6073969952363
244,41.6974359069957
245,36.9320131391607
246,32.5243163132668
247,16.725530139438
248,31.8524250382065
249,41.5931791788533
250,33.2918406220386
251,21.2782228921907
252,33.581113375271
253,20.9404169372944
254,32.68280713338
255,26.4010413237729
256,27.3458159014163
257,20.9070463876886
258,34.6731577716553
259,22.2220532569176
260,28.7546128759958
261,14.6038776607686
262,32.2194703105114
263,31.6320592221576
264,35.9814237403802
265,34.4898202554136
266,45.8958799769115
267,27.9146692006336
268,36.1421225752009
269,19.1673217989777
270,50.1059365917865
271,39.958374973012
272,45.804150930587
273,36.7775504586671
274,42.4487400649783
275,41.9257895874022
276,52.1268755797596
277,68.2061853246145
278,32.1069370931655
279,20.4585992982341
280,42.3719456725756
281,45.0737248526152
282,10.7360993662369
283,33.7053014414122
284,19.7848919625848
285,34.8032290720961
286,23.8073068622745
287,49.140273673806
288,26.2121804580879
289,39.6801782225129
290,26.5569242341168
291,107.517668665313
292,73.3597836966602
293,26.2791939252479
294,38.3792300057892
295,33.4264300015486
296,17.7127396742936
297,31.0168575211399
298,30.836734074412
299,23.2657372185711
300,26.1461817384214
301,33.6421337544696
302,28.0752084907026
303,22.7077172489446
304,39.6743732070478
305,31.0806358347781
306,38.3543959771461
307,23.1277157532419
308,20.8156303876707
309,19.845392411903
310,17.1973139590249
311,30.0414373642351
312,21.5835443128392
313,37.4297839878348
314,25.4216378617333
315,22.9078584177932
316,31.8345870877821
317,22.1637284174955
318,25.0554093128232
319,23.9826961862691
320,50.345287883829
321,38.1466388086755
322,31.407023762945
323,30.5584054217201
324,21.0709362109274
325,20.9621077478571
326,40.5339933769634
327,34.8679159875654
328,28.8184631788748
329,30.7417299658348
330,21.1618529832016
331,34.8624997701481
332,27.3660875859606
333,25.637864553965
334,32.7384527953733
335,18.9261545794963
336,29.384918579434
337,30.5968393787117
338,40.433437498443
339,24.7263050732127
340,37.1836667795412
341,26.1926803194134
342,42.8410813510062
343,33.0389658761736
344,43.9733312099443
345,25.2251815230814
346,33.6428332043283
347,39.143627135265
348,24.8177373801673
349,21.7414561700122
350,39.1785673295216
351,24.3206224429224
352,25.0267321052938
353,22.1049052968907
354,7.77263456982793
355,18.8608106042577
356,16.5461715488525
357,31.5239770326199
358,26.6910314682131
359,21.5497284234392
360,22.590512936799
361,20.8137045060894
362,21.741802098009
363,37.9759642471266
364,31.712655731303
365,21.8526412116929
366,54.2250766257059
367,30.938326248693
368,55.7548164960528
369,41.2260147760656
370,32.9732679122305
371,26.7790098011577
372,29.7664329561714
373,28.8725715107082
374,23.4855583209249
375,39.5608864482407
376,92.012298199881
377,23.2231358995115
378,36.0635600541513
379,20.9936368409875
380,28.1439416658033
381,36.3332707903354
382,46.307225039959
383,29.1024814982972
384,30.9906472006439
385,35.1358183603628
386,29.3917092190077
387,47.4279036531368
388,20.4794173761557
389,34.7328231678578
390,39.3603202962906
391,42.6261186086555
392,31.7940579366325
393,26.9622886735631
394,52.2665377993476
395,21.3366723108548
396,38.7259420197923
397,20.8469255171888
398,21.696551763083
399,29.5370771368494
400,31.559130228323
401,32.6579698155852
402,27.61342247598
403,40.6639192611987
404,36.4490117825343
405,23.2202075450634
406,17.5736980249193
407,23.2753519250556
408,26.8685082935083
409,39.9553669789077
410,26.7550970802611
411,25.7675439713092
412,28.4020512171388
413,27.5343795830648
414,28.7643834906905
415,22.8124043770073
416,38.3186083851125
417,31.9604694596338
418,32.6161111961077
419,18.1775678084421
420,38.8835294244055
421,16.5313956009754
