"","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"POBLACIÓN_5_16",1,0.0906298051137728,0.0886056059219562,0.00965359703805698,0.099672266784178,-0.103151108623696,-0.161981870315941,0.117283828659299,0.134890701760599,0.240932484226974,-0.00660262614185358,-0.0968516635752976,0.196934461258011,0.120411359664126,0.241518175725031,0.13916045536915,0.101110052404152,-0.0181029117184001,-0.0695141715203483,0.0262054556780809,-0.0506134638265285,-0.0799390944700369,-0.0476548020561464,-0.0954631521948975,-0.000880350100694568,-0.0354927491256457,0.136865554747615,-0.0123104193033804,-0.0610260993352503,0.0128761559543864
"TASA_MATRICULACIÓN_5_16",0.0906298051137728,1,0.831043827578297,0.459563926986008,0.746593806856901,0.655015426753801,0.390500294867867,0.841046013096463,0.583735148944337,0.68865621445421,0.735749889897778,0.4898911617912,0.0741060773166661,0.066907467500219,0.0765829116767231,0.0553523592145584,0.0339720549712821,-0.081208870643164,-0.0708003669694898,-0.0673750195913754,-0.0848832322398662,0.0587267898790262,0.0440168530879897,0.0520593513690486,0.0824627983509859,0.0341695020103922,0.0344248920335471,0.0240406300678059,0.0307642609209879,0.0445957670465117
"COBERTURA_NETA",0.0886056059219562,0.831043827578297,1,0.561495700489602,0.881902840712041,0.78466230595793,0.485078503417841,0.885179705301514,0.610397562426815,0.724593580806917,0.774610146106395,0.515157240992343,0.0692055940639535,0.0700444991215479,0.0708955506505086,0.0489701568922766,0.033065068696548,-0.0612725851938009,-0.0470297497314325,-0.048304511332161,-0.0770036415105248,0.0374439511201637,0.018308579288368,0.0329654817350815,0.0734276423755519,-0.00158335960407,0.017300377040912,-0.00923526710712443,-0.00294155260513272,0.0196014475467029
"COBERTURA_NETA_TRANSICIÓN",0.00965359703805698,0.459563926986008,0.561495700489602,1,0.525661239360356,0.407260475747335,0.339101457833321,0.429312466116399,0.585921115736128,0.326681430536265,0.337286834539801,0.24988773442462,0.0615944519303508,0.0095811721043029,0.0550497758350587,0.0569126987682472,0.0332956043302441,-0.103477995343018,-0.0737033386059185,-0.111102957626005,-0.0997389073532724,0.0917421744074054,0.0592911703953682,0.101943633914129,0.101008665715002,0.0741598942940627,-0.0333584272088855,0.0637216005341498,0.0811013178456311,0.053264228478839
"COBERTURA_NETA_PRIMARIA",0.099672266784178,0.746593806856901,0.881902840712041,0.525661239360356,1,0.564914817272252,0.231018283051086,0.784032810364322,0.602929991400685,0.789539655803435,0.573467233210716,0.307863108090553,0.0902133525849038,0.0804984726763422,0.0859939771260026,0.0873242392166617,0.059337630154269,-0.0958396929290664,-0.0945881730583717,-0.0851804810096491,-0.11224491102947,0.0678800368589735,0.067728380118698,0.0576895997281629,0.100126072128891,-0.0256562325476707,0.00315486103527662,-0.022393155726484,-0.0282645528184121,-0.00637483960951756
"COBERTURA_NETA_SECUNDARIA",-0.103151108623696,0.655015426753801,0.78466230595793,0.407260475747335,0.564914817272252,1,0.719697336706923,0.645592578911055,0.329193631537857,0.263177452841468,0.780882155143629,0.648270329885344,-0.0812272532197535,-0.0203623470546343,-0.12990175198594,-0.0676730165324348,-0.0358844041941871,-0.0491302027159201,0.058001400534662,-0.079858882836449,-0.0755454109943898,0.100516892130584,0.000623210287214331,0.12408940647467,0.114382215543944,0.0949534615387467,-0.00252290075637882,0.0362193373756324,0.121102609653837,0.0998381449843486
"COBERTURA_NETA_MEDIA",-0.161981870315941,0.390500294867867,0.485078503417841,0.339101457833321,0.231018283051086,0.719697336706923,1,0.346035688870798,0.130436259969615,-0.0453385458947798,0.461877834692852,0.722642942755356,-0.197431150841334,-0.119882616565347,-0.228242750256184,-0.168795121278534,-0.116165019994201,0.040331461913982,0.143833345460209,-0.0103707049820816,-0.000931822057293567,0.0536204112465278,-0.0497311805432695,0.0909958303389135,0.073124636376055,0.125804695161192,0.00700238313752629,0.076081124688714,0.15438935855736,0.122846934225117
"COBERTURA_BRUTA",0.117283828659299,0.841046013096463,0.885179705301514,0.429312466116399,0.784032810364322,0.645592578911055,0.346035688870798,1,0.652449866974374,0.819943385296906,0.871851204535382,0.602999494846371,0.0902602651201951,0.0923645274415706,0.105541571639768,0.0561257068032341,0.0435318390809684,-0.0383446679767127,-0.0462637679932257,-0.0139974055460148,-0.0580125985941414,-0.000767928338309607,-0.00153138982913334,-0.0100890231313847,0.0437709734765039,-0.0505634682595878,0.0205783430395179,-0.0472473765163687,-0.0567297763271583,-0.0103797538318148
"COBERTURA_BRUTA_TRANSICIÓN",0.134890701760599,0.583735148944337,0.610397562426815,0.585921115736128,0.602929991400685,0.329193631537857,0.130436259969615,0.652449866974374,1,0.603297455525001,0.426048575746376,0.237625706637936,0.0832153411936118,0.0896828279327233,0.111339093138112,0.0480633745354151,0.0433719018859244,-0.0321979421790922,-0.052766251602331,-0.0207905739076687,-0.0613568581481368,-0.00448256009663121,0.0031804622880273,0.00156711359946674,0.0479656132854669,-0.00833981434587559,0.0715258752040524,-0.00391030989223394,-0.00701943642451766,0.0168851460898997
"COBERTURA_BRUTA_PRIMARIA",0.240932484226974,0.68865621445421,0.724593580806917,0.326681430536265,0.789539655803435,0.263177452841468,-0.0453385458947798,0.819943385296906,0.603297455525001,1,0.48619868884814,0.134013452417237,0.1811640286501,0.119724730109074,0.22722961092538,0.142712474919339,0.0889575390812005,-0.0336031612663379,-0.113402635893316,0.0128145121371233,-0.0331723516494267,-0.0533046902822149,0.0134073423714792,-0.0816447595028747,-0.0146793016656849,-0.123074114263036,0.0199173379270615,-0.0845676310606198,-0.145361308168061,-0.081832533900764
