"","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"POBLACIÓN_5_16",7951289.43499104,32.5013832491294,28.6370462032897,3.64892541904249,33.7917656880582,-37.7290381539921,-55.3312337424667,46.6093329820833,67.1821228906219,119.236948278373,-3.3728888699144,-51.1398717521094,8.87337582285937,7.27918211565524,10.4943499765892,9.42168935554786,5.33119711349588,-1.88853703749894,-6.70497390270245,4.38732592418988,-5.25523854521181,-6.98556881833733,-3.79113092942723,-13.8096699535353,-0.0749382438408258,-2.20600428672191,2.16672272576508,-0.80241212283968,-5.81317054586349,0.488800971918407
"TASA_MATRICULACIÓN_5_16",32.5013832491294,0.016174245655298,0.0121139055941943,0.00783456681031957,0.011416005494222,0.0108055430617479,0.00601614849225246,0.015074667636969,0.0131123577508509,0.0153713213094675,0.0169515247156687,0.0116666290767425,0.000150596270976217,0.00018242441095925,0.000150082769131074,0.000169021640242467,8.07877400038066e-05,-0.000382097133911607,-0.000308001254631782,-0.000508745198133311,-0.000397504014386334,0.000231457921806339,0.000157933529016026,0.000339656177295668,0.00031659160722428,9.57852414394902e-05,2.45796106646144e-05,7.06746583330556e-05,0.000132171304093901,7.63541605825859e-05
"COBERTURA_NETA",28.6370462032897,0.0121139055941943,0.0131370084207473,0.00862683940447595,0.0121530909847272,0.0116657880539329,0.00673512145241939,0.0142986705267361,0.0123570259148771,0.0145760360535264,0.0160841444322481,0.0110566055521078,0.000126747037027254,0.000172114958529248,0.000125214366818467,0.000134764000008038,7.08645921577769e-05,-0.000259820093803458,-0.000184385118275435,-0.000328719398280988,-0.000324987828167539,0.000133000624020003,5.92033410911102e-05,0.000193836881007718,0.000254060492120108,-4.00014497263362e-06,1.1132538416193e-05,-2.44682863575995e-05,-1.13894703976049e-05,3.02456857276702e-05
"COBERTURA_NETA_TRANSICIÓN",3.64892541904249,0.00783456681031957,0.00862683940447595,0.0179685932681512,0.00847189886002547,0.00708128959907731,0.0055064520209579,0.00811047911628924,0.0138723205778557,0.00768560747741125,0.00819073683752596,0.00627242890131362,0.000131931047235883,2.75341721773063e-05,0.000113710229608708,0.000183172544214724,8.3455615517104e-05,-0.000513172455379875,-0.000337947438844249,-0.000884243875679282,-0.000492299322647248,0.000381109555765275,0.000224228284649762,0.000701045001202158,0.000408737971433896,0.000219115990637291,-2.51045823407367e-05,0.000197446558934275,0.00036725153689978,9.6121321112575e-05
"COBERTURA_NETA_PRIMARIA",33.7917656880582,0.011416005494222,0.0121530909847272,0.00847189886002547,0.0144555805232412,0.00881015982790643,0.00336472274490999,0.0132851963633379,0.0128037617335629,0.016660515271486,0.012490876683176,0.00693121206718266,0.000173315325369721,0.000207492188985359,0.000159320898210794,0.000252084845293435,0.000133401154910007,-0.000426306028278772,-0.00038900892490768,-0.000608061152010156,-0.000496926344673471,0.000252920253203941,0.000229737446342423,0.000355831213383045,0.000363407812818464,-6.79921201084432e-05,2.12955272964051e-06,-6.22356060988323e-05,-0.000114799119984677,-1.03184409322817e-05
"COBERTURA_NETA_SECUNDARIA",-37.7290381539921,0.0108055430617479,0.0116657880539329,0.00708128959907731,0.00881015982790643,0.016825427396247,0.0113088413507073,0.0118020528143663,0.00754201522990252,0.00599140178070613,0.0183499588538867,0.0157460985850344,-0.000168357781885813,-5.66248717073604e-05,-0.000259648012988147,-0.000210762211326929,-8.70362990667647e-05,-0.000235770736572993,0.000257351374584229,-0.00061502912724835,-0.000360826755836554,0.000404060013969773,2.28066237630273e-06,0.000825746054087131,0.000447889487003074,0.00027148246603269,-1.83727266899336e-06,0.000108599895583916,0.000530658623178063,0.00017434383985801
"COBERTURA_NETA_MEDIA",-55.3312337424667,0.00601614849225246,0.00673512145241939,0.0055064520209579,0.00336472274490999,0.0113088413507073,0.0146747370132061,0.00590774889947819,0.00279084957458816,-0.00096393880336289,0.0101362853633577,0.0163924058430278,-0.000382163509037022,-0.000311342006622522,-0.000426058366345797,-0.000490952201631236,-0.000263131086213356,0.000180753793067484,0.000596004727886551,-7.45903842840581e-05,-4.15648045726174e-06,0.000201297821028334,-0.00016996412566069,0.00056550363785368,0.000267410339133867,0.000335915423330984,4.7623512981787e-06,0.000213043330128098,0.000631802293157187,0.000200344090885893
"COBERTURA_BRUTA",46.6093329820833,0.015074667636969,0.0142986705267361,0.00811047911628924,0.0132851963633379,0.0118020528143663,0.00590774889947819,0.0198624100573532,0.0162411226626497,0.0202813355714064,0.0222599860410772,0.0159135359162408,0.000203264226691143,0.000279072811566752,0.000229206258216016,0.000189920547455283,0.000114718803948947,-0.00019993058887297,-0.000223029305794793,-0.000117125893931641,-0.000301055027576284,-3.35397974849188e-06,-6.08898721701198e-06,-7.29447158450698e-05,0.000186222215480442,-0.000157072717951363,1.62823381384285e-05,-0.000153921584330209,-0.000270088264713679,-1.96938251152819e-05
"COBERTURA_BRUTA_TRANSICIÓN",67.1821228906219,0.0131123577508509,0.0123570259148771,0.0138723205778557,0.0128037617335629,0.00754201522990252,0.00279084957458816,0.0162411226626497,0.0311964987812074,0.0187017020532933,0.0136325967791977,0.00785923215372166,0.000234857644774225,0.000339592871515468,0.000303031342492341,0.000203826827827532,0.000143242871306719,-0.000210396899503241,-0.000318796930409359,-0.000218026260857175,-0.000399046617204418,-2.45359466287792e-05,1.58484396415516e-05,1.41997976101672e-05,0.000255747997094765,-3.2468127440945e-05,7.09261691536892e-05,-1.59650380820001e-05,-4.18826202601079e-05,4.01499308417613e-05
"COBERTURA_BRUTA_PRIMARIA",119.236948278373,0.0153713213094675,0.0145760360535264,0.00768560747741125,0.016660515271486,0.00599140178070613,-0.00096393880336289,0.0202813355714064,0.0187017020532933,0.030803029007196,0.0154588448931609,0.00440432011088729,0.000508062402601188,0.000450481460609751,0.000614537769494336,0.000601385300600424,0.000291938314312363,-0.000218190149749662,-0.00068080826761275,0.00013353287215576,-0.000214378173241964,-0.000289925160695896,6.63869542589917e-05,-0.000735112442694199,-7.77734598843197e-05,-0.000476114450356562,1.96253946797417e-05,-0.000343088951007507,-0.000861835157586906,-0.00019335248712684
